f,x,Z','-Z'',Z,'-phi,f_fit,x_fit,Z'_fit,'-Z''_fit,Z_fit,'-phi_fit
 4.63925123000, 0.66644789156, 55.84106830000, 26.15189550000, 61.66154836791, 28.98383484618, 4.63925123000, 0.66644789156, 55.90049545811, 26.14546240432, 61.71264535569, 28.93974176080
 6.81718969000, 0.83360537852, 54.46811680000, 19.03979300000, 57.69999536587, 20.88592984310, 4.90473581713, 0.69061562002, 55.64548768405, 24.96412857475, 60.98875318526, 27.58013388319
 9.99041080000, 0.99958334653, 53.01710890000, 14.10293770000, 54.86079372270, 15.61105621795, 5.18541295636, 0.71478334848, 55.39947873290, 23.84054801233, 60.31147464128, 26.30055097616
 14.68515010000, 1.16687838990, 51.88555150000, 10.53470330000, 52.94421996855, 11.79571821494, 5.48215205274, 0.73895107694, 55.16205474224, 22.77187961264, 59.67755679046, 25.09471771307
 21.52203750000, 1.33288338378, 51.15707400000, 8.06114769000, 51.78830294885, 9.10393909876, 5.79587226364, 0.76311880540, 54.93282425663, 21.75542581299, 59.08395495491, 23.95705544503
 31.58692170000, 1.49950730385, 50.51623540000, 6.32993603000, 50.91127703301, 7.21725983771, 6.12754534594, 0.78728653386, 54.71141673717, 20.78862554159, 58.52782306986, 22.88258336943
 46.38026810000, 1.66633325474, 49.91745760000, 5.23241186000, 50.19094248089, 6.02791042850, 6.47819866598, 0.81145426232, 54.49748117306, 19.86904750488, 58.00650397119, 21.86683618863
 68.18889620000, 1.83371366041, 49.30899810000, 4.57657433000, 49.52092816400, 5.33318390531, 6.84891838193, 0.83562199078, 54.29068478758, 18.99438379831, 57.51751968385, 20.90579515899
 99.90403750000, 1.99958304006, 48.73727040000, 4.23088789000, 48.92056764164, 4.98638511195, 7.24085280815, 0.85978971924, 54.09071183199, 18.16244382592, 57.05856177842, 19.99583007666
 146.73728900000, 2.16654049114, 48.12985990000, 4.19488192000, 48.31232190980, 5.00644473701, 7.65521597216, 0.88395744770, 53.89726246094, 17.37114851513, 56.62748185747, 19.13365024551
 215.34449800000, 2.33313378012, 47.47603610000, 4.44897079000, 47.68403658310, 5.38494910994, 8.09329137507, 0.90812517616, 53.71005168342, 16.61852481335, 56.22228222695, 18.31626286007
 316.31576500000, 2.50012083745, 46.71305850000, 4.98567295000, 46.97836490544, 6.13849015035, 8.55643596732, 0.93229290463, 53.52880838385, 15.90270045366, 55.84110680058, 17.54093753914
 464.55389400000, 2.66703610479, 45.70021440000, 5.79846859000, 46.06660215596, 7.30898414643, 9.04608435183, 0.95646063309, 53.35327440822, 15.22189897723, 55.48223227802, 16.80517598485
 681.08966100000, 2.83320428770, 44.36874010000, 6.85063457000, 44.89450180226, 8.91757699701, 9.56375322774, 0.98062836155, 53.18320371038, 14.57443500082, 55.14405963015, 16.10668593077
 999.04040500000, 2.99958305310, 42.64403920000, 8.03500462000, 43.39441644422, 10.92528833249, 10.11104608843, 1.00479609001, 53.01836155421, 13.95870971798, 54.82510591767, 15.44335869373
 1468.58972000000, 3.16690048386, 40.39605710000, 9.25372982000, 41.44240515231, 13.35953895485, 10.68965818836, 1.02896381847, 52.85852376735, 13.37320662315, 54.52399646255, 14.81324976506
 2152.93286000000, 3.33303048640, 37.67467120000, 10.28715320000, 39.05389059989, 16.04550807880, 11.30138179418, 1.05313154693, 52.70347604280, 12.81648744829, 54.23945738580, 14.21456197434
 3160.05566000000, 3.49969473218, 34.60375600000, 10.92142300000, 36.28632538095, 18.70870803799, 11.94811173634, 1.07729927539, 52.55301328469, 12.28718830199, 53.97030851931, 13.64563083803
 4642.42725000000, 3.66674510677, 31.30826190000, 11.05912970000, 33.20409030406, 21.12479855788, 12.63185127837, 1.10146700385, 52.40693899489, 11.78401600175, 53.71545669492, 13.10491176958
 6856.00244000000, 3.83607096348, 28.10850140000, 10.71934320000, 30.08308776694, 22.97479377026, 13.35471832202, 1.12563473231, 52.26506469729, 11.30574459004, 53.47388940920, 12.59096888051
 10015.27050000000, 4.00066268354, 25.20899960000, 10.05597020000, 27.14067422700, 24.15027850377, 14.11895196754, 1.14980246077, 52.12720939696, 10.85121202559, 53.24466885932, 12.10246514514
 14672.84960000000, 4.16651446595, 22.62626080000, 9.16859150000, 24.41333135571, 24.57753083225, 14.92691944937, 1.17397018923, 51.99319907130, 10.41931704145, 53.02692634198, 11.63815373743
 21545.40820000000, 4.33335472666, 20.33159070000, 8.17899513000, 21.91505285709, 24.37841109338, 15.78112346866, 1.19813791769, 51.86286619072, 10.00901616189, 52.81985700516, 11.19687037821
 31628.41210000000, 4.50007738877, 18.37450790000, 7.09333277000, 19.69613947841, 23.28705032520, 16.68420994553, 1.22230564615, 51.73604926652, 9.61932087045, 52.62271494056, 10.77752655538
 46411.12500000000, 4.66662209579, 16.72837640000, 5.92373705000, 17.74624573305, 21.18205897049, 17.63897621479, 1.24647337461, 51.61259242360, 9.24929492172, 52.43480860300, 10.37910350064
 68127.42969999999, 4.83332200426, 15.47476200000, 4.73212194000, 16.18212708551, 18.08818910243, 18.64837969084, 1.27064110307, 51.49234499605, 8.89805179007, 52.25549654200, 10.00064682314
 100024.40600000000, 5.00010598098, 14.55103210000, 3.59479332000, 14.98849806314, 14.44994267485, 19.71554702830, 1.29480883153, 51.37516114366, 8.56475224839, 52.08418343042, 9.64126171538
 146777.32800000001, 5.16665897734, 13.90974710000, 2.58276916000, 14.14750016504, 10.76268500866, 20.84378380692, 1.31897655999, 51.26089948732, 8.24860207054, 51.92031637391, 9.30010865837
 215441.85900000000, 5.33333008785, 13.45948120000, 1.64897370000, 13.56011609229, 7.05486250573, 22.03658477068, 1.34314428845, 51.14942276192, 7.94884985144, 51.76338148574, 8.97639956382
 316223.09399999998, 5.49999358359, 13.21927070000, 0.79352468300, 13.24306608238, 3.44348070116, 23.29764465289, 1.36731201691, 51.04059748492, 7.66478493869, 51.61290071071, 8.66939429961
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 24.63086962072, 1.39147974537, 50.93429363899, 7.39573547043, 51.46842888268, 8.37839755218
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 26.04038937462, 1.41564747383, 50.83038436755, 7.14106651375, 51.32955100044, 8.10275598606
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 27.53056994023, 1.43981520229, 50.72874568162, 6.90017829868, 51.19587970710, 7.84185566575
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 29.10602719222, 1.46398293075, 50.62925617679, 6.67250454271, 51.06705295871, 7.59511971007
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 30.77164115214, 1.48815065921, 50.53179675911, 6.45751086120, 50.94273186851, 7.36200615284
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 32.53257110434, 1.51231838767, 50.43625037868, 6.25469325896, 50.82259871381, 7.14200598732
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 34.39427157707, 1.53648611613, 50.34250176991, 6.06357669881, 50.70635509318, 6.93464137434
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 36.36250923800, 1.56065384459, 50.25043719739, 5.88371374277, 50.59372022233, 6.73946399717
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 38.44338075661, 1.58482157305, 50.15994420633, 5.71468326178, 50.48442935762, 6.55605354753
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 40.64333168882, 1.60898930151, 50.07091137666, 5.55608921023, 50.37823233701, 6.38401632975
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 42.96917644225, 1.63315702997, 49.98322807987, 5.40755946128, 50.27489222874, 6.22298397107
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 45.42811938404, 1.65732475843, 49.89678423776, 5.26874469939, 50.17418407883, 6.07261222780
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 48.02777715660, 1.68149248689, 49.81147008215, 5.13931736651, 50.07589374878, 5.93257987813
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 50.77620227032, 1.70566021535, 49.72717591497, 5.01897065845, 49.97981683588, 5.80258769333
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 53.68190804645, 1.72982794381, 49.64379186769, 4.90741756795, 49.88575766879, 5.68235748001
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 56.75389498738, 1.75399567227, 49.56120765968, 4.80438997127, 49.79352837148, 5.57163118694
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 60.00167865589, 1.77816340073, 49.47931235456, 4.70963775494, 49.70294798966, 5.47017007048
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 63.43531914992, 1.80233112919, 49.39799411409, 4.62292797949, 49.61384167346, 5.37775391317
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 67.06545226392, 1.82649885765, 49.31713994888, 4.54404407700, 49.52603991145, 5.29418029073
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 70.90332243358, 1.85066658611, 49.23663546545, 4.47278507931, 49.43937781085, 5.21926388289
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 74.96081756576, 1.87483431457, 49.15636460914, 4.40896487378, 49.35369441941, 5.15283582390
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 79.25050586157, 1.89900204303, 49.07620940234, 4.35241148345, 49.26883208503, 5.09474308902
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 83.78567474674, 1.92316977149, 48.99604967786, 4.30296636851, 49.18463584905, 5.04484791311
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 88.58037202978, 1.94733749995, 48.91576280695, 4.26048374590, 49.10095286993, 5.00302723826
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 93.64944941545, 1.97150522841, 48.83522342194, 4.22482992385, 49.01763187421, 4.96917218689
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 99.00860850832, 1.99567295687, 48.75430313317, 4.19588264825, 48.93452263176, 4.94318755743
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 104.67444944888, 2.01984068533, 48.67287024054, 4.17353045744, 48.85147545297, 4.92499133946
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 110.66452233298, 2.04400841379, 48.59078943952, 4.15767204227, 48.76834070549, 4.91451424532
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 116.99738157369, 2.06817614225, 48.50792152203, 4.14821560798, 48.68496834874, 4.91169925534
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 123.69264337412, 2.09234387071, 48.42412307268, 4.14507823443, 48.60120748425, 4.91650117386
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 130.77104648910, 2.11651159917, 48.33924616098, 4.14818523131, 48.51690592077, 4.92888619289
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 138.25451646410, 2.14067932763, 48.25313803038, 4.15746948466, 48.43190975271, 4.94883146074
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 146.16623355013, 2.16484705609, 48.16564078528, 4.17287079104, 48.34606295134, 4.97632465251
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 154.53070450527, 2.18901478455, 48.07659107742, 4.19433517581, 48.25920696813, 5.01136353942
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 163.37383850494, 2.21318251301, 47.98581979336, 4.22181419151, 48.17118034996, 5.05395555386
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 172.72302739633, 2.23735024147, 47.89315174508, 4.25526419284, 48.08181836649, 5.10411734692
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 182.60723054537, 2.26151796993, 47.79840536628, 4.29464558416, 47.99095264998, 5.16187433514
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 193.05706453915, 2.28568569839, 47.70139241719, 4.33992203582, 47.89841084854, 5.22726023292
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 204.10489802161, 2.30985342685, 47.60191770119, 4.39105966556, 47.80401629380, 5.30031656701
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 215.78495195635, 2.33402115531, 47.49977879749, 4.44802618113, 47.70758768496, 5.38109216948
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 228.13340562691, 2.35818888377, 47.39476581393, 4.51078998072, 47.60893879102, 5.46964264499
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 241.18850870314, 2.38235661223, 47.28666116535, 4.57931920762, 47.50787817375, 5.56602980855
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 254.99069972059, 2.40652434069, 47.17523938318, 4.65358075607, 47.40420893458, 5.67032108940
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 269.58273133993, 2.43069206915, 47.06026696279, 4.73353922541, 47.29772848888, 5.78258889659
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 285.00980277449, 2.45485979761, 46.94150225586, 4.81915582018, 47.18822837166, 5.90290994168
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 301.31969979607, 2.47902752607, 46.81869541580, 4.91038719436, 47.07549407957, 6.03136451389
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 318.56294275266, 2.50319525453, 46.69158840518, 5.00718423852, 46.95930495437, 6.16803570269
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 336.79294305655, 2.52736298299, 46.55991507471, 5.10949080966, 46.83943411377, 6.31300856281
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 356.06616862766, 2.55153071145, 46.42340132443, 5.21724240431, 46.71564843642, 6.46636921660
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 376.44231880444, 2.57569843992, 46.28176535827, 5.33036477682, 46.58770860787, 6.62820388838
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 397.98450926421, 2.59986616838, 46.13471804413, 5.44877250592, 46.45536923578, 6.79859786561
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 420.75946752563, 2.62403389684, 45.98196339209, 5.57236751453, 46.31837904232, 6.97763438160
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 444.83773963907, 2.64820162530, 45.82319916401, 5.70103754922, 46.17648114313, 7.16539341461
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 470.29390870484, 2.67236935376, 45.65811762817, 5.83465462806, 46.02941342203, 7.36195039826
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 497.20682589641, 2.69653708222, 45.48640647264, 5.97307346775, 45.87690901146, 7.56737483870
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 525.65985470404, 2.72070481068, 45.30774989120, 6.11612990336, 45.71869688867, 7.78172883400
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 555.74112915547, 2.74487253914, 45.12182985494, 6.26363931681, 45.55450259798, 8.00506549217
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 587.54382681341, 2.76904026760, 44.92832758217, 6.41539509322, 45.38404910905, 8.23742724455
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 621.16645739562, 2.79320799606, 44.72692521785, 6.57116712693, 45.20705782124, 8.47884405248
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 656.71316791141, 2.81737572452, 44.51730773197, 6.73070040272, 45.02324972294, 8.72933150621
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 694.29406525981, 2.84154345298, 44.29916504408, 6.89371368039, 44.83234671429, 8.98888881625
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 734.02555728868, 2.86571118144, 44.07219437813, 7.05989831453, 44.63407310021, 9.25749669940
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 776.03071337121, 2.88987890990, 43.83610284799, 7.22891724377, 44.42815725885, 9.53511516329
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 820.43964561656, 2.91404663836, 43.59061026984, 7.40040418694, 44.21433348844, 9.82168119595
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 867.38991189572, 2.93821436682, 43.33545219210, 7.57396308559, 43.99234403298, 10.11710636962
