Res_Real,Res_Imag,Fit_Real,Fit_Imag,freq,Data_Real,Data_Imag
-4.62441911397702,-1.81187658005965,1528.5160632562,-3379.35936261443,5000000,1357.223741,-3446.472775
-4.20908111774736,-1.70236364343661,1542.51035303915,-3399.62258427221,4860354.622,1385.511922,-3463.120629
-3.57068784120363,-1.60083348537412,1557.35498002089,-3422.41702401813,4724609.41,1423.020276,-3482.642813
-3.1118373451833,-1.52499312678405,1573.09634473627,-3447.73788937101,4592655.436,1454.98438,-3505.620071
-2.5324569220033,-1.50453879281382,1589.78282335616,-3475.58040229413,4464386.815,1492.646918,-3533.289079
-2.08847856144492,-1.45137276872195,1607.46480923102,-3505.93966391255,4339700.617,1526.525927,-3562.187543
-1.64651293385663,-1.32966554688646,1626.19475048666,-3538.81050996514,4218496.791,1561.720844,-3590.877354
-1.21290791303283,-1.22698871218305,1646.02718691807,-3574.18736309511,4100678.074,1598.001431,-3622.770656
-0.872883976626044,-1.09081787646016,1667.01877937456,-3612.06407087022,3986149.926,1632.072817,-3655.73503
-0.461799513816746,-1.03527630649323,1689.22833830073,-3652.4337421566,3874820.443,1670.50452,-3694.409372
-0.112383080534343,-0.959794392874698,1712.71684375164,-3695.28856942422,3766600.29,1708.101519,-3734.705204
0.180017273094368,-0.794803005710848,1737.54746085267,-3740.61964549313,3661402.625,1745.031868,-3773.664415
0.521799802548164,-0.685782707043566,1763.78554565993,-3788.4167673273,3559143.034,1785.77612,-3817.318188
0.779265837138194,-0.586897484992847,1791.49864408609,-3838.66823376477,3459739.459,1824.796572,-3863.746287
1.05703134102663,-0.481302178283463,1820.75647916994,-3891.36063091632,3363112.134,1866.575585,-3912.223622
1.22930643470657,-0.199363003121651,1851.63092694694,-3946.47860839295,3269183.521,1905.601782,-3955.231342
1.54525684260678,-0.110431449341929,1884.19597923786,-4004.00464630368,3177878.247,1953.104962,-4008.929212
1.7341838339805,-0.0102433461018216,1918.5276906004,-4063.91881143279,3089123.045,1997.060483,-4064.382683
1.8458404179884,0.170993964341753,1954.7041097502,-4126.19850677893,3002846.693,2039.533324,-4118.340144
1.98819101346628,0.331996709868221,1992.80518968157,-4190.81820836174,2918979.961,2085.598657,-4175.323155
2.1504340610413,0.521477080936224,2032.91268159984,-4257.7492023576,2837455.549,2134.862653,-4233.026485
2.21151135134659,0.704394853403394,2075.11000132467,-4326.95930766745,2758208.038,2181.606591,-4293.038772
2.37739116597004,0.874739981469183,2119.48207308283,-4398.41259738442,2681173.837,2235.877837,-4355.585809
2.41246425102568,0.973836976468361,2166.1151475923,-4472.06911880582,2606291.13,2286.242647,-4423.577374
2.48163741219399,1.22933804820484,2215.09658948209,-4547.88460926668,2533499.828,2340.658732,-4485.684419
2.51206368569008,1.33571159399324,2266.51463613615,-4625.81021662506,2462741.519,2395.847406,-4557.041546
2.49204311059142,1.47919648403042,2320.45812007843,-4705.79221777128,2393959.425,2450.972299,-4628.323207
2.51845917004469,1.64171942090039,2377.01616402112,-4787.77175463587,2327098.351,2511.226465,-4700.283476
2.49607839830794,1.80986000693622,2436.27783321738,-4871.68457013183,2262104.645,2571.619647,-4773.550739
2.392718942264,2.14690916048466,2498.3317557777,-4957.46076572158,2198926.153,2630.117164,-4839.21399
2.33681074456445,2.10292354415482,2563.26570318459,-5045.02457452691,2137512.178,2694.491624,-4926.932821
2.30065242808254,2.30560184314375,2631.16613383214,-5134.29415935098,2077813.439,2762.641035,-5002.536415
2.222733740913,2.35461279793519,2702.11770022155,-5225.18144107137,2019782.03,2831.545241,-5088.074716
2.06372367067271,2.68011105812625,2776.20271297229,-5317.59195314576,1963371.385,2898.321353,-5158.999249
1.96129261896872,2.59242606506386,2853.50057710958,-5411.42474618247,1908536.237,2971.90546,-5254.917807
1.81899666711694,2.92723539088864,2934.08718692826,-5506.57232815898,1855232.584,3045.704133,-5326.951837
1.71588124787661,2.91335285803653,3018.03429295803,-5602.92066008868,1803417.653,3125.39875,-5420.629171
1.5439603022704,3.03612206595906,3105.40884128698,-5700.34920859789,1753049.865,3203.775355,-5506.916293
1.39280545307523,3.06414578973653,3196.27228774666,-5798.7310591174,1704088.802,3286.708079,-5599.77402
1.1117083325609,3.16888576768725,3290.67988932739,-5897.93309257728,1656495.177,3364.150792,-5688.506851
0.971078309029595,3.29876165225591,3388.67999671596,-5997.81624952199,1610230.798,3454.031751,-5775.815759
0.73632212839656,3.37987685388368,3490.3133291748,-6098.23585821009,1565258.54,3540.768566,-5866.635475
0.507193727282689,3.3226770782967,3595.61225540745,-6199.04204819258,1521542.316,3631.039296,-5966.955945
0.344393388984587,3.26582313269332,3704.60009387432,-6300.08025604927,1479047.046,3729.127302,-6067.49297
0.0817567307871012,3.38988317065551,3817.29043169958,-6401.19181457253,1437738.629,3823.21471,-6155.553185
-0.227342954451953,3.21823063527841,3933.68647060575,-6502.21462541876,1397583.918,3916.889948,-6264.445728
-0.516380361304044,3.31899850450524,4053.78043066804,-6602.98393230454,1358550.691,4014.970269,-6353.534344
-0.63417069653153,3.28757409345897,4177.55300290731,-6703.33317381143,1320607.626,4128.977633,-6451.515913
-0.835539219305006,3.21562604137347,4304.97287661619,-6803.09492462617,1283724.275,4239.765399,-6552.139783
-1.03260213487474,3.07273563196686,4435.99633348941,-6902.10190406698,1247871.043,4353.853763,-6657.66855
-1.3490738451833,2.92968083132946,4570.56696999419,-7000.18808306586,1213019.158,4461.268002,-6762.831846
-1.49166263844038,2.79883676730908,4708.61548174309,-7097.18982069336,1179140.654,4585.456356,-6866.103863
