Index,Name,Value,Error,Initial,Fix,Min,Max,,
0,R0,12.6585414,1.461957,12.544189,1,0.000000,23.833960,,
1,R1,16.8447637,7.064121,21.0417559,1,1.816392,34.511452,,
2,f1,540.668777,1.205624,567.056065,1,54.123640,1028.350113,,
3,n1,1.18292552,0.149786,1.04400207,1,0.076500,1,,
2,R2,27.5236340,7.894716,24.8095987,1,1.353201,25.710820,,
4,f2,4821.502541,1.402743,5365.633440,1,631.989700,12007.787675,,
6,n2,0.91234841,0.140835,0.90675968,1,0.076600,1,,
14,A0,31.9664058,1.829131,116.324703,1,0,221.016936,,
15,L0,3.9812e-07,2.20e-06,0E+0,1,0,0E+0,,
