EC-Lab ASCII FILE
Nb header lines : 81                          

Galvanostatic Cycling with Potential Limitation

Run on channel : 1 (SN 6985)
Grouped channel(s) : 1
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Ewe ctrl range : min = -10,00 V, max = 10,00 V
Acquisition started on : 01.29.2015 22:15:06
Saved on :
	File : LiNiMnO-LATP-LTO_3_02_GCPL_C01.mpr
	Directory : C:\Hupfer\Studenten Batterietests\ASS Batterie 03\
	Host : 192.168.0.2
Device : VMP3 (SN 0324)
Address : 192.168.0.1
EC-Lab for windows v10.33 (software)
Internet server v10.33 (firmware)
Command interpretor v10.32 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Mass of active material : 0,001 mg
 at x = 0,000
Molecular weight of active material (at x = 0) : 0,001 g/mol
Atomic weight of intercalated ion : 0,001 g/mol
Acquisition started at : xo = 0,000
Number of e- transfered per intercalated ion : 1
for DX = 1, DQ = 26,801 mA.h
Battery capacity : 0,000 A.h
Electrode surface area : 0,001 cm²
Characteristic mass : 0,001 g
Ns                  0                   1                   2                   
Set I/C             I                   I                   I                   
Is                  0,000               1,000               -1,000              
unit Is             mA                  µA                  µA                  
vs.                 <None>              <None>              <None>              
N                   1                   1                   1                   
I sign              > 0                 > 0                 > 0                 
t1 (h:m:s)          0:00:0,0000         10:00:0,0000        10:00:0,0000        
I Range             1 mA                1 mA                1 mA                
Bandwidth           5                   5                   5                   
dE1 (mV)            0,00                0,00                0,00                
dt1 (s)             0,0000              10,0000             10,0000             
EM (V)              0,000               2,500               0,000               
tM (h:m:s)          0:00:0,0000         0:00:0,0000         0:00:0,0000         
Im                  0,000               0,000               0,000               
unit Im             mA                  mA                  mA                  
E range min (V)     -10,000             -10,000             -10,000             
E range max (V)     10,000              10,000              10,000              
dq                  0,000               1,000               1,000               
unit dq             mA.h                mA.h                mA.h                
dtq (s)             0,0000              120,0000            120,0000            
dQM                 0,000               0,000               0,000               
unit dQM            mA.h                mA.h                mA.h                
dxM                 0,000               0,000               0,000               
tR (h:m:s)          0:00:0,0000         0:00:0,0000         0:00:0,0000         
dER/dt (mV/h)       0,0                 0,1                 0,1                 
dER (mV)            0,00                5,00                5,00                
dtR (s)             1,0000              120,0000            120,0000            
EL (V)              pass                4,200               4,200               
goto Ns'            0                   0                   0                   
nc cycles           0                   0                   0                   

Number of loops : 11
Loop 0 from point number 0 to 30
Loop 1 from point number 31 to 34
Loop 2 from point number 35 to 38
Loop 3 from point number 39 to 42
Loop 4 from point number 43 to 46
Loop 5 from point number 47 to 50
Loop 6 from point number 51 to 54
Loop 7 from point number 55 to 58
Loop 8 from point number 59 to 62
Loop 9 from point number 63 to 66
Loop 10 from point number 67 to 70

mode	ox/red	error	control changes	Ns changes	counter inc.	Ns	time/s	control/V/mA	Ewe/V	dq/mA.h	<I>/mA	P/W	(Q-Qo)/mA.h	x	Capacity/mA.h
1	1	0	1	0	0	1	450,0008	0,00100000005	2,45610428	3,2680532584199686E-006	0,0011764992027520584	2,88960473E-006	4,9053492200918202E-005	-1,8302517471379667E-006	4,9053492200918202E-005
1	1	0	1	0	0	1	460,0008	0,00100000005	2,46274924	3,2684970137779603E-006	0,0011766589546849712	2,89781588E-006	5,232198921469616E-005	-1,9522037652629955E-006	5,232198921469616E-005
1	1	0	1	0	0	1	470,0008	0,00100000005	2,46897435	3,2693788720062003E-006	0,0011769764236551573	2,9059247E-006	5,5591368086702362E-005	-2,0741886867041907E-006	5,5591368086702362E-005
1	1	0	1	0	0	1	480,0008	0,00100000005	2,47607756	3,2641545022941293E-006	0,0011750956505112995	2,90962794E-006	5,8855522588996493E-005	-2,1959786798871891E-006	5,8855522588996493E-005
1	1	0	1	0	0	1	490,0008	0,00100000005	2,47741413	3,2680550255398784E-006	0,0011764998389152419	2,91467722E-006	6,2123577614536371E-005	-2,3179142068367962E-006	6,2123577614536371E-005
1	1	0	1	0	0	1	500,0008	0,00100000005	2,47995377	3,2622544119690752E-006	0,0011744116179770002	2,91248648E-006	6,5385832026505446E-005	-2,4396333050950675E-006	6,5385832026505446E-005
1	1	0	1	0	0	1	510,0008	0,00100000005	2,48193979	3,2621982362470592E-006	0,0011743913947165632	2,91476863E-006	6,8648030262752512E-005	-2,5613503073616221E-006	6,8648030262752512E-005
1	1	0	1	0	0	1	520,0008	0,00100000005	2,48329544	3,2641788814346202E-006	0,0011751044270020982	2,91813149E-006	7,1912209144187123E-005	-2,6831412101631306E-006	7,1912209144187123E-005
1	1	0	1	0	0	1	530,0008	0,00100000005	2,48425031	3,261682054079655E-006	0,0011742055691316037	2,91702054E-006	7,517389119826679E-005	-2,8048389529790051E-006	7,517389119826679E-005
1	1	0	1	0	0	1	540,0008	0,00100000005	2,48073673	3,2604694997361446E-006	0,0011737690495569122	2,91181209E-006	7,8434360698002931E-005	-2,9264914537620262E-006	7,8434360698002931E-005
1	1	0	1	0	0	1	550,0008	0,00100000005	2,47791076	3,2620258209450797E-006	0,0011743293252062827	2,90988328E-006	8,1696386518948019E-005	-3,048202022981849E-006	8,1696386518948019E-005
1	1	0	1	0	0	1	560,0008	0,00100000005	2,48698068	3,2650554397195162E-006	0,0011754199879926323	2,92324671E-006	8,4961441958667533E-005	-3,1700256313515117E-006	8,4961441958667533E-005
1	1	0	1	0	0	1	570,0008	0,00100000005	2,48299003	3,2678388003647949E-006	0,0011764219978502456	2,92104414E-006	8,8229280759032333E-005	-3,2919530906491181E-006	8,8229280759032333E-005
1	1	0	1	0	0	1	571,1326	0,00100000005	2,50072908	3,7044117223962938E-007	0,0011782896746350405	2,94658321E-006	8,8599721931271962E-005	-3,305774748848832E-006	8,8599721931271962E-005
1	0	0	0	1	0	2	571,1332	-0,00100000005	2,32975054	1,5049255388374957E-010	0,00090295534611306816	2,10366079E-006	8,8599872423825843E-005	-3,3057803639283565E-006	1,5049255388374957E-010
1	0	0	0	0	0	2	571,2322	-0,00100000005	-0,00247962959	-2,0089741596216803E-008	-0,00073053607649914112	1,81145887E-009	8,8579782682229632E-005	-3,3050307886584576E-006	2,0240234150100554E-008
1	1	0	1	1	0	1	571,2828	0,00100000005	0,969847739	0	0	0	8,8579782682229632E-005	-3,3050307886584576E-006	0
1	1	0	1	0	0	1	577,1168	0,00100000005	2,50084376	1,8955824725417187E-006	0,0011697115312892318	2,92526579E-006	9,0475365154771354E-005	-3,3757575193467296E-006	1,8955824725417187E-006
1	0	0	0	1	0	2	577,1174	-0,00100000005	2,33039212	1,5084587438549434E-010	0,00090507526917709043	2,10918029E-006	9,0475516000645734E-005	-3,3757631476091174E-006	1,5084587438549434E-010
1	0	0	0	0	0	2	577,2170	-0,00100000005	-0,00446549989	-2,0180558404844205E-008	-0,00072941779209571098	3,25721516E-009	9,0455335442240896E-005	-3,3750101838419827E-006	2,0331404279229696E-008
1	1	0	1	1	0	1	577,2676	0,00100000005	0,967728198	0	0	0	9,0455335442240896E-005	-3,3750101838419827E-006	0
1	1	0	1	0	0	1	581,0972	0,00100000005	2,50086284	1,2396020460146245E-006	0,0011652829220771323	2,9142127E-006	9,1694937488255514E-005	-3,421261402841465E-006	1,2396020460146245E-006
1	0	0	0	1	0	2	581,0978	-0,00100000005	2,33055258	1,5614548465237021E-010	0,00093687293158162227	2,18343166E-006	9,1695093633740173E-005	-3,4212672288394374E-006	1,5614548465237021E-010
1	0	0	0	0	0	2	581,1962	-0,00100000005	-0,0019258773	-1,9978079416735757E-008	-0,00073090536297894528	1,40763401E-009	9,1675115554323443E-005	-3,4205218198355859E-006	2,0134224901388128E-008
1	1	0	1	1	0	1	581,2468	0,00100000005	0,970229626	0	0	0	9,1675115554323443E-005	-3,4205218198355859E-006	0
1	1	0	1	0	0	1	584,1198	0,00100000005	2,49979353	9,2658447032509786E-007	0,0011610526200617221	2,90239177E-006	9,2601700024648538E-005	-3,4550939322294854E-006	9,2658447032509786E-007
1	0	0	0	1	0	2	584,1204	-0,00100000005	2,33015156	1,554388727527112E-010	0,00093263326007656499	2,17317688E-006	9,260185546352128E-005	-3,4550997318628173E-006	1,554388727527112E-010
1	0	0	0	0	0	2	584,2200	-0,00100000005	-0,00331980549	-2,0142401173466675E-008	-0,00072803861502312794	2,41694664E-009	9,2581713062347814E-005	-3,454348191793289E-006	2,0297840046219386E-008
1	1	0	1	1	0	1	584,2706	0,00100000005	0,965818703	0	0	0	9,2581713062347814E-005	-3,454348191793289E-006	0
1	1	0	1	0	0	1	588,8818	0,00100000005	2,50015616	1,4982526089709914E-006	0,0011696975903348656	2,92442655E-006	9,407996567131881E-005	-3,5102500110560538E-006	1,4982526089709914E-006
1	0	0	0	1	0	2	588,8824	-0,00100000005	2,32975054	1,5119916901716755E-010	0,00090719503702067955	2,11353813E-006	9,4080116870487821E-005	-3,5102556525003392E-006	1,5119916901716755E-010
1	0	0	0	0	0	2	588,9824	-0,00100000005	-0,00356803928	-2,0233683641789763E-008	-0,0007284126295056823	2,59900479E-009	9,4059883186846029E-005	-3,5095007065591866E-006	2,0384882810806931E-008
1	1	0	1	1	0	1	589,0330	0,00100000005	0,967040777	0	0	0	9,4059883186846029E-005	-3,5095007065591866E-006	0
1	1	0	1	0	0	1	591,7624	0,00100000005	2,50097728	8,788391073095328E-007	0,001159163503421688	2,89904165E-006	9,4938722294155558E-005	-3,5422913752646522E-006	8,788391073095328E-007
1	0	0	0	1	0	2	591,7630	-0,00100000005	2,33103371	1,5897194841980106E-010	0,00095383171461462221	2,22341396E-006	9,4938881266103987E-005	-3,5422973067217875E-006	1,5897194841980106E-010
1	0	0	0	0	0	2	591,8632	-0,00100000005	-0,00253691431	-2,0354049527718922E-008	-0,00073128323503852006	1,85520288E-009	9,4918527216576269E-005	-3,5415378697675981E-006	2,0513021476138723E-008
1	1	0	1	1	0	1	591,9138	0,00100000005	0,966334283	0	0	0	9,4918527216576269E-005	-3,5415378697675981E-006	0
1	1	0	1	0	0	1	595,4030	0,00100000005	2,50170302	1,1292358212647539E-006	0,0011650948811331947	2,91472134E-006	9,6047763037841024E-005	-3,583671176532695E-006	1,1292358212647539E-006
1	0	0	0	1	0	2	595,4036	-0,00100000005	2,33103371	1,5261240575152138E-010	0,00091567445764101069	2,1344681E-006	9,6047915650246771E-005	-3,5836768707067437E-006	1,5261240575152138E-010
1	0	0	0	0	0	2	595,5016	-0,00100000005	-0,00179221295	-1,9764552461007648E-008	-0,00072604480262334797	1,3012269E-009	9,6028151097785766E-005	-3,5829394286807002E-006	1,9917164866759171E-008
1	1	0	1	1	0	1	595,5522	0,00100000005	0,971375346	0	0	0	9,6028151097785766E-005	-3,5829394286807002E-006	0
1	1	0	1	0	0	1	600,5062	0,00100000005	2,50107288	1,6094836670357229E-006	0,0011695884835892054	2,925226E-006	9,7637634764821491E-005	-3,6429914282716083E-006	1,6094836670357229E-006
1	0	0	0	1	0	2	600,5068	-0,00100000005	2,33071303	1,5755871168544723E-010	0,00094535229399429107	2,20334482E-006	9,7637792323533171E-005	-3,6429973069989805E-006	1,5755871168544723E-010
1	0	0	0	0	0	2	600,6074	-0,00100000005	-0,00339618511	-2,0407174611490416E-008	-0,00073027664470445811	2,48015475E-009	9,7617385148921677E-005	-3,6422358878764877E-006	2,0564733323175866E-008
1	1	0	1	1	0	1	600,6580	0,00100000005	0,967479944	0	0	0	9,7617385148921677E-005	-3,6422358878764877E-006	0
1	1	0	1	0	0	1	604,4882	0,00100000005	2,50097728	1,2393522412870272E-006	0,0011648655896152986	2,9133023E-006	9,8856737390208704E-005	-3,6884777863257171E-006	1,2393522412870272E-006
1	0	0	0	1	0	2	604,4888	-0,00100000005	2,33031201	1,5579217708566122E-010	0,00093475308612781645	2,17826641E-006	9,8856893182385792E-005	-3,6884835991413094E-006	1,5579217708566122E-010
1	0	0	0	0	0	2	604,5890	-0,00100000005	-0,0041981712	-2,0386553841212342E-008	-0,00073245105471449178	3,07495496E-009	9,8836506628544576E-005	-3,6877229494074803E-006	2,0542346018298003E-008
1	1	0	1	1	0	1	604,6396	0,00100000005	0,968186498	0	0	0	9,8836506628544576E-005	-3,6877229494074803E-006	0
1	1	0	1	0	0	1	609,6882	0,00100000005	2,50219941	1,6392743308671114E-006	0,0011689156875575795	2,92486015E-006	0,00010047578095941168	-3,748886478719911E-006	1,6392743308671114E-006
1	0	0	0	1	0	2	609,6888	-0,00100000005	2,33175564	1,621517197539409E-010	0,00097291034310142797	2,26858924E-006	0,00010047594311113144	-3,7488925288185907E-006	1,621517197539409E-010
1	0	0	0	0	0	2	609,7894	-0,00100000005	-0,00372079853	-2,0364424309958749E-008	-0,00072874681280185498	2,71152012E-009	0,00010045557868682147	-3,7481327047673267E-006	2,0526576029712691E-008
1	1	0	1	1	0	1	609,8400	0,00100000005	0,971146166	0	0	0	0,00010045557868682147	-3,7481327047673267E-006	0
1	1	0	1	0	0	1	612,4716	0,00100000005	2,50069094	8,4709426663256538E-007	0,001158815715502007	2,89783998E-006	0,00010130267295345405	-3,7797389307857414E-006	8,4709426663256538E-007
1	0	0	0	1	0	2	612,4722	-0,00100000005	2,32959032	1,5437895005258419E-010	0,00092627372371514765	2,15783825E-006	0,0001013028273324041	-3,7797446908719328E-006	1,5437895005258419E-010
1	0	0	0	0	0	2	612,5726	-0,00100000005	-0,00396903232	-2,0286455429919037E-008	-0,00072740280271546688	2,88708524E-009	0,00010128254087697418	-3,7789877759444134E-006	2,0440834379971622E-008
