1000024,25	0,374453813	2,22424698
681286,5	7,50111294	1,05638146
464160,125	7,68862438	0,3587358
316223,094	7,84214926	-0,44176662
215441,859	7,98414803	-1,19975471
146777,328	8,24068165	-2,02469325
100024,406	8,5355978	-3,02951074
68127,4297	9,16247559	-4,19740248
46411,125	9,96986198	-5,68202543
31628,4121	11,1475592	-7,49645042
21545,4082	12,9165602	-9,67826557
14672,8496	15,4437647	-12,1591501
10015,2705	18,9332237	-14,5463228
6856,00244	23,5285397	-16,6931019
4642,42725	28,8325462	-17,9468422
3160,05566	34,6045456	-18,3103447
2152,93286	39,9836731	-17,6571674
1468,58972	44,8365479	-16,3361015
999,040405	48,9508057	-14,6755247
681,089661	52,462841	-12,9337273
464,553894	55,3012505	-11,2711668
316,315765	57,6067314	-9,62810326
215,344498	59,4911041	-8,26416588
146,737289	60,9099121	-7,18743229
99,9040375	62,0808105	-6,42143869
68,1888962	63,1617508	-6,12984943
46,3802681	64,0710449	-6,18624878
31,5869217	64,8231659	-6,67922354
21,5220375	65,6631622	-7,79263067
14,6851501	66,9172134	-9,36455917
9,9904108	68,0258179	-11,9905043
6,81718969	69,5339813	-15,8143129
4,63925123	72,1257706	-19,9062614
3,16039586	73,7473602	-26,9217072
2,1522038	78,3265076	-34,0986176
1,46630979	79,4411926	-48,5178833
0,998529792	80,5535126	-63,5402756
