EC-Lab ASCII FILE
Nb header lines : 3                           
mode	ox/red	error	control changes	Ns changes	counter inc.	Ns	time/s	control/V/mA	Ewe/V	dq/mA.h	<I>/mA	P/W	(Q-Qo)/mA.h	x	Capacity/mA.h
1	0	0	1	1	0	1	134720,93	-0,200000003	3,27933645	0	0	0	0	0	0
1	0	0	1	0	0	1	134730,93	-0,200000003	2,07857323	-0,00055203252207463571	-0,19873167684362083	0,000413078349	-0,00055203252207463571	2,0597075614224422E-005	0,00055203252207463571
1	0	0	1	0	0	1	134740,93	-0,200000003	1,97498286	-0,00055478019325435162	-0,19972083832280634	0,000394445233	-0,0011068127153289874	4,1296670534447232E-005	0,0011068127153289874
1	0	0	1	0	0	1	134750,93	-0,200000003	1,95007098	-0,00055477176696144877	-0,19971780485783594	0,000389463909	-0,0016615844822904362	6,1995951058352576E-005	0,0016615844822904362
1	0	0	1	0	0	1	134760,93	-0,200000003	1,93759596	-0,00055477613486929075	-0,19971937730441302	0,000386975473	-0,0022163606171597267	8,2695394554772186E-005	0,0022163606171597267
1	0	0	1	0	0	1	134770,93	-0,200000003	1,93087268	-0,00055477848141805997	-0,19972022206183773	0,00038563431	-0,0027711390985777866	0,00010339492560408138	0,0027711390985777866
1	0	0	1	0	0	1	134780,93	-0,200000003	1,9220736	-0,00055477701565788851	-0,19971969439755875	0,000383875944	-0,0033259161142356749	0,00012409440196390782	0,0033259161142356749
1	0	0	1	0	0	1	134790,93	-0,200000003	1,91340768	-0,0005547786642875936	-0,19972028789485958	0,000382146332	-0,0038806947785232691	0,00014479393983632518	0,0038806947785232691
1	0	0	1	0	0	1	134800,93	-0,200000003	1,90455139	-0,00055477209363132723	-0,19971792245897376	0,000380373036	-0,0044354668721545958	0,00016549323254872288	0,0044354668721545958
1	0	0	1	0	0	1	134810,93	-0,200000003	1,89481902	-0,00055478002238025267	-0,19972077680814032	0,000378434721	-0,0049902468945348486	0,00018619282109340333	0,0049902468945348486
1	0	0	1	0	0	1	134820,93	-0,200000003	1,88805771	-0,00055477330821421408	-0,19971835970874464	0,000377079792	-0,0055450202027490624	0,00020689215912352157	0,0055450202027490624
1	0	0	1	0	0	1	134830,93	-0,200000003	1,877792	-0,00055477370758768589	-0,19971850348317197	0,000375029806	-0,0060997939103367488	0,00022759151205480102	0,0060997939103367488
1	0	0	1	0	0	1	134840,93	-0,200000003	1,86946905	-0,00055477141333785325	-0,19971767755336144	0,000373366027	-0,0066545653236746022	0,00024829077938453459	0,0066545653236746022
1	0	0	1	0	0	1	134850,93	-0,200000003	1,8581177	-0,00055477716965062752	-0,19971974982563597	0,000371102797	-0,0072093424933252301	0,00026899026149003718	0,0072093424933252301
1	0	0	1	0	0	1	134860,93	-0,200000003	1,85072792	-0,00055477793925835027	-0,1997200268843728	0,000369627436	-0,0077641204325835802	0,00028968977231063866	0,0077641204325835802
1	0	0	1	0	0	1	134870,93	-0,200000003	1,84017646	-0,00055477997881339661	-0,19972076112407459	0,000367521454	-0,0083189004113969766	0,00031038935922978106	0,0083189004113969766
1	0	0	1	0	0	1	134880,93	-0,200000003	1,83122492	-0,0005547830342004697	-0,19972186106324883	0,000365735643	-0,0088736834455974464	0,00033108906014952326	0,0088736834455974464
1	0	0	1	0	0	1	134890,93	-0,200000003	1,82130206	-0,0005547821437393625	-0,19972154049730038	0,000363753265	-0,009428465589336809	0,00035178872784496429	0,009428465589336809
1	0	0	1	0	0	1	134900,93	-0,200000003	1,81240773	-0,00055477348025805421	-0,19971842164451738	0,000361971208	-0,0099832390695948621	0,0003724880722942695	0,0099832390695948621
1	0	0	1	0	0	1	134910,93	-0,200000003	1,80065644	-0,0005547655331782169	-0,19971556069622355	0,000359619124	-0,01053800460277308	0,00039318712022734106	0,01053800460277308
1	0	0	1	0	0	1	134920,93	-0,200000003	1,78842878	-0,00055476871206611392	-0,19971670509568746	0,000357179117	-0,011092773314839194	0,00041388628676899411	0,011092773314839194
1	0	0	1	0	0	1	134930,93	-0,200000003	1,77930582	-0,00055476899623456928	-0,19971680739631539	0,000355357275	-0,011647542311073762	0,00043458546391335424	0,011647542311073762
1	0	0	1	0	0	1	134940,93	-0,200000003	1,76690698	-0,0005547703799489472	-0,1997173055334135	0,000352881907	-0,01220231269102271	0,00045528469268595834	0,01220231269102271
1	0	0	1	0	0	1	134950,93	-0,200000003	1,75506055	-0,00055476517958607936	-0,19971543340307395	0,000350512681	-0,012757077870608789	0,00047598372742603174	0,012757077870608789
1	0	0	1	0	0	1	134960,93	-0,200000003	1,74250937	-0,00055476237631506394	-0,19971442422566634	0,000348004251	-0,013311840246923853	0,00049668265757229459	0,013311840246923853
1	0	0	1	0	0	1	134970,93	-0,200000003	1,72961533	-0,00055476319948666624	-0,19971472056739677	0,000345429638	-0,013866603446410518	0,00051738161843219674	0,013866603446410518
1	0	0	1	0	0	1	134980,93	-0,200000003	1,71455002	-0,00055476284374545024	-0,19971459250057907	0,000342420652	-0,014421366290155971	0,00053808056601891578	0,014421366290155971
1	0	0	1	0	0	1	134990,93	-0,200000003	1,70319879	-0,00055476662771817709	-0,19971595473054755	0,000340155966	-0,014976132917874147	0,00055877965479074496	0,014976132917874147
1	0	0	1	0	0	1	135000,93	-0,200000003	1,68868577	-0,0005547707209934791	-0,19971742830942576	0,000337259989	-0,015530903638867629	0,00057947889628817894	0,015530903638867629
1	0	0	1	0	0	1	135010,93	-0,200000003	1,67348731	-0,0005547593557627664	-0,19971333682700934	0,000334217737	-0,016085662994630394	0,0006001777137335744	0,016085662994630394
1	0	0	1	0	0	1	135020,93	-0,200000003	1,65948856	-0,0005547590213161376	-0,19971321642624182	0,00033142179	-0,016640422015946531	0,00062087651870031654	0,016640422015946531
1	0	0	1	0	0	1	135030,93	-0,200000003	1,64305198	-0,00055476337045017216	-0,19971478211424928	0,000328141759	-0,017195185386396704	0,00064157548593909696	0,017195185386396704
1	0	0	1	0	0	1	135040,93	-0,200000003	1,62871051	-0,00055476318221373696	-0,1997147143491432	0,000325277448	-0,017749948568610442	0,00066227444615452288	0,017749948568610442
1	0	0	1	0	0	1	135050,93	-0,200000003	1,61503565	-0,00055476496920900211	-0,19971535766733802	0,000322547421	-0,018304713537819443	0,00068297347304514458	0,018304713537819443
1	0	0	1	0	0	1	135060,93	-0,200000003	1,60189402	-0,00055476863837987181	-0,19971667856864445	0,000319924962	-0,018859482176199312	0,00070367263683746483	0,018859482176199312
1	0	0	1	0	0	1	135070,93	-0,200000003	1,58381951	-0,00055476494828942746	-0,19971535013629232	0,00031631306	-0,019414247124488742	0,00072437166294754931	0,019414247124488742
1	0	0	1	0	0	1	135080,93	-0,200000003	1,56846857	-0,00055476682985656794	-0,19971602750035693	0,000313248311	-0,019969013954345309	0,0007450707592614336	0,019969013954345309
1	0	0	1	0	0	1	135090,93	-0,200000003	1,55582213	-0,00055475770711153741	-0,19971274331265974	0,0003107175	-0,020523771661456848	0,00076576951519343514	0,020523771661456848
1	0	0	1	0	0	1	135100,93	-0,200000003	1,53780472	-0,000554760245770216	-0,19971365722964109	0,000307120616	-0,021078531907227062	0,00078646836584620506	0,021078531907227062
1	0	0	1	0	0	1	135110,93	-0,200000003	1,52199674	-0,00055476128476444211	-0,19971403126750394	0,000303964101	-0,021633293191991504	0,00080716725526524659	0,021633293191991504
1	0	0	1	0	0	1	135120,93	-0,200000003	1,50706482	-0,00055475682999276454	-0,19971242754995094	0,000300979562	-0,022188050021984269	0,00082786597847076736	0,022188050021984269
1	0	0	1	0	0	1	135124,77	-0,200000003	1,49963689	-0,00021291922304034234	-0,19971575910437629	0,000299501116	-0,022400969245024611	0,00083581028095534259	0,022400969245024611
1	1	0	0	1	0	2	135124,77	0,200000003	2,36548042	9,7899494899643789E-009	0,058739705546802842	0,000138947624	-0,02240095945507512	0,00083580991567916442	9,7899494899643789E-009
1	1	0	0	0	0	2	135134,77	0,200000003	2,67066956	0,00055611632743643379	0,2002018465437737	0,000534672989	-0,021844843127638688	0,00081506046779615654	0,00055612611738592378
1	1	0	0	0	0	2	135144,77	0,200000003	2,65788984	0,00055611835631231469	0,20020257694829917	0,000532116392	-0,021288724771326371	0,00079431094421306176	0,0011122444736982384
