EC-Lab ASCII FILE
Nb header lines : 82                          

Galvanostatic Cycling with Potential Limitation

Run on channel : 1 (SN 6985)
Grouped channel(s) : 1
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Ewe ctrl range : min = 0,00 V, max = 5,00 V
Acquisition started on : 10.28.2014 11:50:52
Saved on :
	File : LATP vs Li Batterietest Probe1_02_GCPL_C01.mpr
	Directory : C:\Hupfer\Batterietest Li vs LATP\
	Host : 192.168.0.2
Device : VMP3 (SN 0324)
Address : 192.168.0.1
EC-Lab for windows v10.33 (software)
Internet server v10.33 (firmware)
Command interpretor v10.32 (firmware)
Electrode material : Lithium - LATP folie
Initial state : unbekannt
Electrolyte : LP30
Comments : Batterietest
Mass of active material : 0,001 mg
 at x = 0,000
Molecular weight of active material (at x = 0) : 0,001 g/mol
Atomic weight of intercalated ion : 0,001 g/mol
Acquisition started at : xo = 0,000
Number of e- transfered per intercalated ion : 1
for DX = 1, DQ = 26,801 mA.h
Battery capacity : 0,000 A.h
Reference electrode : Li+/Li (-3,020 V)
Electrode surface area : 0,001 cm²
Characteristic mass : 0,001 g
Ns                  0                   1                   2                   
Set I/C             I                   I                   I                   
Is                  0,000               100,000             -100,000            
unit Is             mA                  µA                  µA                  
vs.                 <None>              <None>              <None>              
N                   1                   1                   1                   
I sign              > 0                 > 0                 > 0                 
t1 (h:m:s)          0:00:0,0000         60:00:0,0000        60:00:0,0000        
I Range             100 µA              100 µA              100 µA              
Bandwidth           5                   5                   5                   
dE1 (mV)            0,00                0,00                0,00                
dt1 (s)             0,0000              2,0000              2,0000              
EM (V)              0,000               4,500               1,200               
tM (h:m:s)          0:00:0,0000         0:00:0,0000         0:00:0,0000         
Im                  0,000               0,000               0,000               
unit Im             mA                  mA                  mA                  
E range min (V)     0,000               0,000               0,000               
E range max (V)     5,000               5,000               5,000               
dq                  0,000               1,000               1,000               
unit dq             mA.h                mA.h                mA.h                
dtq (s)             0,0000              120,0000            120,0000            
dQM                 0,000               0,000               0,000               
unit dQM            mA.h                mA.h                mA.h                
dxM                 0,000               0,000               0,000               
tR (h:m:s)          0:00:0,0000         0:00:0,0000         0:00:0,0000         
dER/dt (mV/h)       0,0                 0,1                 0,1                 
dER (mV)            0,00                5,00                5,00                
dtR (s)             1,0000              120,0000            120,0000            
EL (V)              pass                3,500               3,500               
goto Ns'            0                   0                   0                   
nc cycles           0                   0                   0                   

Number of loops : 11
Loop 0 from point number 0 to 1297
Loop 1 from point number 1298 to 3017
Loop 2 from point number 3018 to 4693
Loop 3 from point number 4694 to 6333
Loop 4 from point number 6334 to 7945
Loop 5 from point number 7946 to 9554
Loop 6 from point number 9555 to 11158
Loop 7 from point number 11159 to 12751
Loop 8 from point number 12752 to 14335
Loop 9 from point number 14336 to 15911
Loop 10 from point number 15912 to 17481

mode	ox/red	error	control changes	Ns changes	counter inc.	Ns	time/s	control/V/mA	Ewe/V	dq/mA.h	<I>/mA	P/W	(Q-Qo)/mA.h	Capacity/mA.h	x
1	0	0	0	0	0	2	30176,5464	-0,100000001	1,4624939	-5,5544870083944666E-005	-0,09998076736158688	0,000146221268	-0,019128268464255101	0,03721508606564089	0,00071370141463183398
1	0	0	0	0	0	2	30178,5464	-0,100000001	1,45814025	-5,5544915779597229E-005	-0,099980849613762509	0,000145786107	-0,019183813380034694	0,037270630981420486	0,00071577387012050419
1	0	0	0	0	0	2	30180,5464	-0,100000001	1,45369112	-5,5544883236289024E-005	-0,099980791035807027	0,000145341182	-0,019239358263270982	0,037326175864656774	0,0007178463243949399
1	0	0	0	0	0	2	30182,5464	-0,100000001	1,44935656	-5,5544852674421331E-005	-0,099980736024444518	0,000144907739	-0,019294903115945405	0,037381720717331194	0,00071991877752907123
1	0	0	0	0	0	2	30184,5464	-0,100000001	1,44507933	-5,5544883518583245E-005	-0,099980791543936627	0,000144480175	-0,019350447999463987	0,037437265600849779	0,00072199123181403968
1	0	0	0	0	0	2	30186,5464	-0,100000001	1,44076383	-5,5544837484757101E-005	-0,099980708683048563	0,000144048594	-0,019405992836948742	0,037492810438334534	0,00072406368438142426
1	0	0	0	0	0	2	30188,5464	-0,100000001	1,43646753	-5,5544848899460499E-005	-0,099980729229514931	0,000143619065	-0,019461537685848202	0,037548355287233997	0,00072613613737470669
1	0	0	0	0	0	2	30190,5464	-0,100000001	1,43211389	-5,5544760187053018E-005	-0,099980569547179533	0,000143183555	-0,019517082446035254	0,03760390004742105	0,00072820858705800998
1	0	0	0	0	0	2	30192,5464	-0,100000001	1,42781746	-5,5544913984421222E-005	-0,099980846382445645	0,000142754405	-0,019572627360019677	0,037659444961405472	0,00073028104247969984
1	0	0	0	0	0	2	30194,5464	-0,100000001	1,42336845	-5,5544955667522221E-005	-0,099980921412028352	0,000142309684	-0,019628172315687197	0,037714989917072992	0,00073235349945664218
1	0	0	0	0	0	2	30196,5464	-0,100000001	1,41901481	-5,5545012806024813E-005	-0,099981024261334259	0,000141874552	-0,019683717328493222	0,037770534929879014	0,00073442595856549901
1	0	0	0	0	0	2	30198,5464	-0,100000001	1,41471839	-5,5544941730383366E-005	-0,099980896325178125	0,00014144482	-0,019739262270223603	0,037826079871609402	0,00073649841502242803
1	0	0	0	0	0	2	30200,5464	-0,100000001	1,41047931	-5,5544948090281754E-005	-0,099980907772995354	0,000141020995	-0,019794807218313885	0,037881624819699686	0,00073857087171665331
1	0	0	0	0	0	2	30202,5464	-0,100000001	1,40616393	-5,5544975021647078E-005	-0,099980956249453517	0,000140589618	-0,019850352193335533	0,037937169794721331	0,00074064332941572416
1	0	0	0	0	0	2	30204,5464	-0,100000001	1,401963	-5,5544942188594074E-005	-0,099980897149957402	0,000140169519	-0,019905897135524128	0,037992714736909926	0,00074271578588974976
1	0	0	0	0	0	2	30206,5464	-0,100000001	1,39764762	-5,5544947179241312E-005	-0,099980906133122534	0,000139738069	-0,019961442082703373	0,038048259684089171	0,0007447882425499831
1	0	0	0	0	0	2	30208,5464	-0,100000001	1,39329398	-5,5544967569824717E-005	-0,099980942836173107	0,000139302851	-0,020016987050273197	0,038103804651658995	0,00074686069997101645
1	0	0	0	0	0	2	30210,5464	-0,100000001	1,38899755	-5,5544954913771814E-005	-0,099980920055277619	0,000138873249	-0,020072532005186966	0,038159349606572768	0,00074893315691983526
1	0	0	0	0	0	2	30212,5464	-0,100000001	1,38485396	-5,5544949984798829E-005	-0,099980911183126131	0,000138458956	-0,020128076955171766	0,038214894556557562	0,00075100561368474765
1	0	0	0	0	0	2	30214,5464	-0,100000001	1,38057673	-5,554492242717081E-005	-0,099980861579395098	0,000138031246	-0,020183621877598938	0,038270439478984736	0,00075307806942144794
1	0	0	0	0	0	2	30216,5464	-0,100000001	1,37639499	-5,5544917251500819E-005	-0,099980852263188979	0,00013761314	-0,020239166794850438	0,038325984396236237	0,00075515052496503693
1	0	0	0	0	0	2	30218,5464	-0,100000001	1,37227046	-5,554492335559593E-005	-0,09998086325056032	0,000137200783	-0,020294711718206032	0,038381529319591834	0,00075722298073637786
1	0	0	0	0	0	2	30220,5464	-0,100000001	1,36818409	-5,5544839916957747E-005	-0,099980713061009792	0,000136792019	-0,020350256558122989	0,038437074159508794	0,00075929543339451098
1	0	0	0	0	0	2	30222,5464	-0,100000001	1,36398327	-5,5544865273353126E-005	-0,09998075870252201	0,00013637208	-0,020405801423396342	0,03849261902478215	0,0007613678869987255
1	0	0	0	0	0	2	30224,5464	-0,100000001	1,35993516	-5,5544823742989037E-005	-0,099980683947865754	0,000135967246	-0,020461346247139331	0,038548163848525133	0,00076344033905338624
1	0	0	0	0	0	2	30226,5464	-0,100000001	1,35577238	-5,5544849217765862E-005	-0,099980729802464602	0,000135551105	-0,020516891096357098	0,038603708697742899	0,00076551279205854515
1	0	0	0	0	0	2	30228,5464	-0,100000001	1,35187709	-5,5544805949346886E-005	-0,099980651919309491	0,00013516155	-0,020572435902306445	0,038659253503692243	0,00076758524344930112
1	0	0	0	0	0	2	30230,5464	-0,100000001	1,34779072	-5,5544720057812E-005	-0,099980497314544832	0,000134752787	-0,020627980622364259	0,038714798223750054	0,00076965769163532851
1	0	0	0	0	0	2	30232,5464	-0,100000001	1,34397173	-5,5544753835433056E-005	-0,099980558114263475	0,000134371046	-0,02068352537619969	0,038770342977585491	0,00077173014108164429
1	0	0	0	0	0	2	30234,5464	-0,100000001	1,33998096	-5,5544767883916698E-005	-0,099980583401534336	0,000133972077	-0,020739070144083606	0,038825887745469408	0,00077380259105212787
1	0	0	0	0	0	2	30236,5464	-0,100000001	1,33625746	-5,5544792328029869E-005	-0,09998062740093856	0,000133599853	-0,020794614936411638	0,038881432537797434	0,00077587504193465434
1	0	0	0	0	0	2	30238,5464	-0,100000001	1,33236206	-5,5544832225061126E-005	-0,099980699215595699	0,000133210488	-0,020850159768636701	0,038936977370022496	0,00077794749430579251
1	0	0	0	0	0	2	30240,5464	-0,100000001	1,32882953	-5,5544875576264326E-005	-0,099980777247762406	0,000132857414	-0,020905704644212966	0,038992522245598758	0,0007800199482944224
1	0	0	0	0	0	2	30242,5464	-0,100000001	1,32510602	-5,5544827491044998E-005	-0,099980690694366566	0,000132485016	-0,02096124947170401	0,039048067073089805	0,00078209240048892826
1	0	0	0	0	0	2	30244,5464	-0,100000001	1,32138252	-5,5544785089376902E-005	-0,099980614371363059	0,000132112633	-0,021016794256793386	0,039103611858179181	0,00078416485110137062
1	0	0	0	0	0	2	30246,5464	-0,100000001	1,31786907	-5,5544827438063091E-005	-0,09998069059899913	0,000131761466	-0,02107233908423145	0,039159156685617242	0,00078623730329389965
1	0	0	0	0	0	2	30248,5464	-0,100000001	1,31447017	-5,5544811692088845E-005	-0,099980662256245146	0,000131421592	-0,021127883895923539	0,039214701497309331	0,00078830975489892506
1	0	0	0	0	0	2	30250,5464	-0,100000001	1,31107128	-5,5544866832594074E-005	-0,099980761509155763	0,000131081906	-0,021183428762756134	0,039270246364141926	0,00079038220856131686
1	0	0	0	0	0	2	30252,5464	-0,100000001	1,30771053	-5,5544853100760115E-005	-0,099980736791854336	0,000130745859	-0,021238973615856896	0,039325791217242688	0,00079245466171135552
1	0	0	0	0	0	2	30254,5464	-0,100000001	1,30452168	-5,5544861444582541E-005	-0,099980751810734874	0,000130427055	-0,021294518477301478	0,03938133607868727	0,00079452711517271334
1	0	0	0	0	0	2	30256,5464	-0,100000001	1,30146646	-5,5544908375789722E-005	-0,099980836286908826	0,000130121713	-0,021350063385677267	0,039436880987063059	0,00079659957038513766
1	0	0	0	0	0	2	30258,5464	-0,100000001	1,29843044	-5,5544807511485286E-005	-0,099980654731158656	0,000129817927	-0,021405608193188752	0,039492425794574541	0,0007986720218341792
1	0	0	0	0	0	2	30260,5464	-0,100000001	1,29527974	-5,5544898041006592E-005	-0,09998081768429897	0,000129503125	-0,02146115309122976	0,039547970692615552	0,00080074447666099878
1	0	0	0	0	0	2	30262,5464	-0,100000001	1,29254925	-5,5544859975990323E-005	-0,099980749167268851	0,000129230044	-0,02151669795120575	0,039603515552591539	0,00080281693006756147
1	0	0	0	0	0	2	30264,5464	-0,100000001	1,28962767	-5,554486824654871E-005	-0,099980764054274125	0,000128937958	-0,021572242819452301	0,039659060420838086	0,00080488938378270989
1	0	0	0	0	0	2	30266,5464	-0,100000001	1,28687799	-5,5544880597127808E-005	-0,099980786285316774	0,000128663072	-0,021627787700049427	0,039714605301435219	0,00080696183795867494
1	0	0	0	0	0	2	30268,5464	-0,100000001	1,28424287	-5,5544866322643232E-005	-0,099980760591244224	0,000128399581	-0,02168333256637207	0,039770150167757862	0,00080903429160203981
1	0	0	0	0	0	2	30270,5464	-0,100000001	1,2817415	-5,5544815871036717E-005	-0,099980669778351386	0,000128149375	-0,021738877382243104	0,039825694983628896	0,00081110674336298726
1	0	0	0	0	0	2	30272,5464	-0,100000001	1,27929735	-5,5544774122536186E-005	-0,099980594631049536	0,000127904903	-0,021794422156365638	0,03988123975775143	0,00081317919356624218
1	0	0	0	0	0	2	30274,5464	-0,100000001	1,27689135	-5,5544804369409882E-005	-0,099980649075422835	0,000127664433	-0,02184996696073505	0,039936784562120838	0,00081525164489804851
1	0	0	0	0	0	2	30276,5464	-0,100000001	1,27452362	-5,5544892823530573E-005	-0,099980808292842022	0,000127427906	-0,021905511853558579	0,039992329454944365	0,00081732409953019712
1	0	0	0	0	0	2	30278,5464	-0,100000001	1,27234674	-5,5544841376857626E-005	-0,099980715688829594	0,000127210136	-0,02196105669493544	0,040047874296321222	0,00081939655224280128
1	0	0	0	0	0	2	30280,5464	-0,100000001	1,27013183	-5,5544807235813805E-005	-0,099980654234949978	0,000126988612	-0,022016601502171251	0,04010341910355703	0,00082146900368155699
1	0	0	0	0	0	2	30282,5464	-0,100000001	1,26814592	-5,5544782516856986E-005	-0,099980609740827162	0,000126790008	-0,022072146284688112	0,040158963886073888	0,00082354145419801536
1	0	0	0	0	0	2	30284,5464	-0,100000001	1,26617908	-5,5544850356876851E-005	-0,099980731852864384	0,000126593513	-0,022127691135044986	0,040214508736430765	0,00082561390724567603
1	0	0	0	0	0	2	30286,5464	-0,100000001	1,26409781	-5,5544910876287354E-005	-0,099980840787804621	0,000126385567	-0,022183236045921277	0,040270053647307053	0,00082768636255139738
1	0	0	0	0	0	2	30288,5464	-0,100000001	1,26232195	-5,5544768316464294E-005	-0,099980584180120013	0,000126207684	-0,022238780814237741	0,04032559841562352	0,00082975881253801984
1	0	0	0	0	0	2	30290,5464	-0,100000001	1,26060343	-5,5544741002635827E-005	-0,099980535015228173	0,000126035811	-0,022294325555240374	0,040381143156626157	0,00083183126150552678
1	0	0	0	0	0	2	30292,5464	-0,100000001	1,25865579	-5,5544739288588365E-005	-0,099980531929942707	0,000125841078	-0,022349870294528963	0,040436687895914746	0,00083390371040908019
1	0	0	0	0	0	2	30294,5464	-0,100000001	1,25697541	-5,5544746547523469E-005	-0,099980544996026048	0,00012567309	-0,022405415041076486	0,040492232642462266	0,0008359761595834743
1	0	0	0	0	0	2	30296,5464	-0,100000001	1,25548601	-5,5544721987098451E-005	-0,09998050078726048	0,000125524122	-0,022460959763063587	0,04054777736444937	0,00083804860784148595
1	0	0	0	0	0	2	30298,5464	-0,100000001	1,2537483	-5,5544731176975699E-005	-0,099980517329039718	0,000125350402	-0,02251650449424056	0,040603322095626342	0,00084012105644238413
1	0	0	0	0	0	2	30300,5464	-0,100000001	1,25220168	-5,5544717378914355E-005	-0,099980492492529024	0,000125195744	-0,022572049211619475	0,040658866813005261	0,00084219350452845824
1	0	0	0	0	0	2	30302,5464	-0,100000001	1,25075042	-5,5544682313170701E-005	-0,099980429374189658	0,000125050559	-0,02262759389393265	0,040714411495318432	0,0008442659513061824
1	0	0	0	0	0	2	30304,5464	-0,100000001	1,24929929	-5,554466319622265E-005	-0,099980394963682765	0,000124905433	-0,02268313855712887	0,040769956158514656	0,00084633839737062733
1	0	0	0	0	0	2	30306,5464	-0,100000001	1,24790525	-5,5544695415016678E-005	-0,099980452957512704	0,000124766128	-0,022738683252543888	0,04082550085392967	0,00084841084463719885
1	0	0	0	0	0	2	30308,5464	-0,100000001	1,24651134	-5,5544653733157446E-005	-0,099980377930165184	0,000124626677	-0,022794227906277046	0,040881045507662829	0,00085048329034856422
1	0	0	0	0	0	2	30310,5464	-0,100000001	1,24527025	-5,5544626509563789E-005	-0,099980328927696013	0,000124502534	-0,022849772532786611	0,04093659013417239	0,00085255573504418074
1	0	0	0	0	0	2	30312,5464	-0,100000001	1,24395263	-5,5544648971822528E-005	-0,099980369359762214	0,000124370839	-0,022905317181758432	0,040992134783144218	0,00085462818057789414
1	0	0	0	0	0	2	30314,5464	-0,100000001	1,24257779	-5,5544656982438432E-005	-0,099980383778871027	0,000124233411	-0,02296086183874087	0,041047679440126656	0,00085670062641049459
1	0	0	0	0	0	2	30316,5464	-0,100000001	1,24143219	-5,5544637715237011E-005	-0,099980349097908045	0,000124118829	-0,023016406476456106	0,041103224077841894	0,00085877307152420966
1	0	0	0	0	0	2	30318,5464	-0,100000001	1,24028647	-5,5544683724641798E-005	-0,09998043191483767	0,000124004378	-0,023071951160180749	0,041158768761566534	0,00086084551835459763
1	0	0	0	0	0	2	30320,5464	-0,100000001	1,2391789	-5,5544708226290016E-005	-0,099980476017804992	0,000123893697	-0,02312749586840704	0,041214313469792826	0,00086291796609917504
1	0	0	0	0	0	2	30322,5464	-0,100000001	1,23789954	-5,5544779840856787E-005	-0,099980604924026765	0,000123765945	-0,023183040648247894	0,041269858249633683	0,00086499041651578803
1	0	0	0	0	0	2	30324,5464	-0,100000001	1,23690665	-5,5544693463378483E-005	-0,099980449444563917	0,000123666483	-0,023238585341711274	0,041325402943097062	0,00086706286370954138
1	0	0	0	0	0	2	30326,5464	-0,100000001	1,23570371	-5,554463731911447E-005	-0,099980348384887462	0,00012354608	-0,023294129979030387	0,041380947580416173	0,00086913530880847667
1	0	0	0	0	0	2	30328,5464	-0,100000001	1,23467255	-5,554461723359095E-005	-0,099980312230944678	0,000123442951	-0,023349674596263981	0,04143649219764976	0,00087120775315799411
1	0	0	0	0	0	2	30330,5464	-0,100000001	1,23367965	-5,5544578869723616E-005	-0,099980243175982656	0,000123343591	-0,023405219175133706	0,041492036776519482	0,00087328019607610406
1	0	0	0	0	0	2	30332,5464	-0,100000001	1,23253393	-5,5544736134923168E-005	-0,09998052625334528	0,000123229387	-0,023460763911268624	0,041547581512654406	0,00087535264486199002
1	0	0	0	0	0	2	30334,5464	-0,100000001	1,23169374	-5,5544743741138118E-005	-0,099980539944532352	0,000123145408	-0,023516308655009766	0,041603126256395539	0,00087742509393167411
1	0	0	0	0	0	2	30336,5464	-0,100000001	1,23064351	-5,5544793693555725E-005	-0,099980629858885133	0,000123040518	-0,023571853448703322	0,041658671050089094	0,00087949754486515008
1	0	0	0	0	0	2	30338,5464	-0,100000001	1,22965062	-5,5544809175448288E-005	-0,099980657726292083	0,000122941274	-0,023627398257878771	0,041714215859264538	0,00088156999637627635
1	0	0	0	0	0	2	30340,5464	-0,100000001	1,22867668	-5,5544702761289146E-005	-0,099980466180803315	0,000122843674	-0,023682942960640058	0,04176976056202583	0,0008836424439169472
1	0	0	0	0	0	2	30342,5464	-0,100000001	1,22774112	-5,5544730272558003E-005	-0,099980515701087859	0,000122750193	-0,023738487690912618	0,041825305292298387	0,00088571489248410035
1	0	0	0	0	0	2	30344,5464	-0,100000001	1,2267673	-5,5544737601031859E-005	-0,099980528892340954	0,00012265284	-0,023794032428513651	0,041880850029899418	0,0008877873413246889
1	0	0	0	0	0	2	30346,5464	-0,100000001	1,22604167	-5,5544709234188E-005	-0,099980477832021389	0,000122580226	-0,023849577137747837	0,041936394739133613	0,00088985978910687232
1	0	0	0	0	0	2	30348,5464	-0,100000001	1,22518241	-5,554484263973104E-005	-0,099980717962001766	0,000122494617	-0,023905121980387568	0,041991939581773344	0,00089193224186659571
1	0	0	0	0	0	2	30350,5464	-0,100000001	1,22424674	-5,554480140035351E-005	-0,099980643731121306	0,000122400976	-0,02396066678178792	0,042047484383173696	0,00089400469308762266
1	0	0	0	0	0	2	30352,5464	-0,100000001	1,22331107	-5,5544811439183027E-005	-0,099980661801014656	0,000122307451	-0,024016211593227104	0,042103029194612883	0,0008960771446832119
1	0	0	0	0	0	2	30354,5464	-0,100000001	1,22250903	-5,5544831713040672E-005	-0,099980698293958861	0,000122227313	-0,024071756424940144	0,042158574026325926	0,00089814959703524595
1	0	0	0	0	0	2	30356,5464	-0,100000001	1,22157347	-5,5544806995325619E-005	-0,099980653802071232	0,000122133715	-0,024127301231935472	0,042214118833321248	0,00090022204846502886
1	0	0	0	0	0	2	30358,5464	-0,100000001	1,22086692	-5,554479926576217E-005	-0,099980639888856858	0,000122063058	-0,024182846031201232	0,042269663632587008	0,00090229449960641139
1	0	0	0	0	0	2	30360,5464	-0,100000001	1,21983576	-5,554473067240583E-005	-0,099980516420813939	0,000121959813	-0,024238390761873638	0,042325208363259418	0,00090436694818848346
1	0	0	0	0	0	2	30362,5464	-0,100000001	1,21911013	-5,5544832125306131E-005	-0,09998069903603671	0,000121887482	-0,024293935593998947	0,042380753195384723	0,00090643940055589978
1	0	0	0	0	0	2	30364,5464	-0,100000001	1,21848011	-5,5544823923458656E-005	-0,099980684272711078	0,000121824472	-0,024349480417922403	0,042436298019308186	0,00090851185261729395
1	0	0	0	0	0	2	30366,5464	-0,100000001	1,21767807	-5,5544831127342253E-005	-0,099980697239701696	0,000121744306	-0,024405025249049747	0,042491842850435526	0,00091058430494747482
1	0	0	0	0	0	2	30368,5464	-0,100000001	1,21689522	-5,5544943332672115E-005	-0,099980899209297894	0,000121666279	-0,024460570192382419	0,042547387793768205	0,00091265676146418752
1	0	0	0	0	0	2	30370,5464	-0,100000001	1,21618867	-5,554487334854073E-005	-0,099980773237859878	0,000121595484	-0,02451611506573096	0,042602932667116749	0,00091472921536969792
1	0	0	0	0	0	2	30372,5464	-0,100000001	1,2154249	-5,5544879840893875E-005	-0,099980784924095693	0,000121519137	-0,024571659945571853	0,042658477546957638	0,00091680166951744691
1	0	0	0	0	0	2	30374,5464	-0,100000001	1,21468019	-5,5544842111153734E-005	-0,099980717010562598	0,000121444595	-0,024627204787683005	0,042714022389068794	0,00091887412225744845
1	0	0	0	0	0	2	30376,5464	-0,100000001	1,21385908	-5,5544849974413709E-005	-0,099980731164430733	0,000121362522	-0,024682749637657421	0,042769567239043213	0,00092094657529083891
1	0	0	0	0	0	2	30378,5464	-0,100000001	1,21313345	-5,5544868066906925E-005	-0,099980763730918912	0,00012129001	-0,024738294505724326	0,042825112107110118	0,00092301902899928461
1	0	0	0	0	0	2	30380,5464	-0,100000001	1,21240783	-5,5544792819354272E-005	-0,099980628285322509	0,000121217294	-0,02479383929854368	0,042880656899929472	0,00092509147990014285
1	0	0	0	0	0	2	30382,5464	-0,100000001	1,21162498	-5,5544788745542368E-005	-0,099980620952460979	0,000121139019	-0,024849384087289222	0,042936201688675021	0,00092716393064900186
1	0	0	0	0	0	2	30384,5464	-0,100000001	1,21097577	-5,5544756419128838E-005	-0,09998056276491593	0,000121074037	-0,024904928843708352	0,042991746445094144	0,00092923638019171891
1	0	0	0	0	0	2	30386,5464	-0,100000001	1,21026921	-5,5544777743518355E-005	-0,09998060114881751	0,000121003446	-0,024960473621451872	0,043047291222837664	0,00093130883053007744
1	0	0	0	0	0	2	30388,5464	-0,100000001	1,20946729	-5,5544832963082522E-005	-0,099980700544034227	0,000120923389	-0,025016018454414954	0,043102836055800749	0,00093338128292875226
1	0	0	0	0	0	2	30390,5464	-0,100000001	1,20877981	-5,5544813522448141E-005	-0,099980665550891917	0,000120854609	-0,025071563267937402	0,0431583808693232	0,00093545373460207078
1	0	0	0	0	0	2	30392,5464	-0,100000001	1,20822608	-5,5544817246496672E-005	-0,099980672254179354	0,000120799254	-0,025127108085183901	0,043213925686569696	0,00093752618641433882
1	0	0	0	0	0	2	30394,5464	-0,100000001	1,20746231	-5,5544774514105581E-005	-0,099980595335874458	0,000120722798	-0,025182652859698006	0,043269470461083802	0,00093959863663220365
1	0	0	0	0	0	2	30396,5464	-0,100000001	1,20679402	-5,5544799179252653E-005	-0,099980639733139725	0,000120656041	-0,025238197658877258	0,043325015260263053	0,00094167108777035827
1	0	0	0	0	0	2	30398,5464	-0,100000001	1,20612562	-5,5544817657520371E-005	-0,099980672994022029	0,000120589248	-0,025293742476534778	0,043380560077920576	0,00094374353959796198
1	0	0	0	0	0	2	30400,5464	-0,100000001	1,20539999	-5,5544815601160134E-005	-0,099980669292573542	0,000120516699	-0,025349287292135939	0,043436104893521741	0,00094581599134884006
1	0	0	0	0	0	2	30402,5464	-0,100000001	1,20471263	-5,5544906501968698E-005	-0,09998083291403095	0,000120448174	-0,025404832198637907	0,043491649800023706	0,0009478884464913495
1	0	0	0	0	0	2	30404,5464	-0,100000001	1,2041589	-5,5544767734491162E-005	-0,099980583132568358	0,000120392506	-0,0254603769663724	0,043547194567758202	0,00094996089645625805
1	0	0	0	0	0	2	30406,5464	-0,100000001	1,20362425	-5,5544692183948224E-005	-0,099980447141589427	0,000120338889	-0,025515921658556346	0,043602739259942144	0,00095203334360227392
1	0	0	0	0	0	2	30408,5464	-0,100000001	1,20282221	-5,5544723110066515E-005	-0,099980502808603034	0,000120258766	-0,025571466381666413	0,043658283983052218	0,00095410579190218496
1	0	0	0	0	0	2	30410,5464	-0,100000001	1,20213485	-5,5544628316329581E-005	-0,099980332179874483	0,000120189841	-0,025627011009982742	0,043713828611368544	0,00095617823666521421
1	0	0	0	0	0	2	30412,5464	-0,100000001	1,20146644	-5,554463115872608E-005	-0,099980337296188224	0,000120123019	-0,025682555641141469	0,04376937324252727	0,00095825068153429722
1	0	0	0	0	0	2	30414,5464	-0,100000001	1,2010082	-5,5544738567951654E-005	-0,099980530632796608	0,000120077435	-0,025738100379709421	0,043824917981095226	0,00096032313041096269
1	0	0	0	0	0	2	30416,5464	-0,100000001	1,20028257	-5,5544666895849837E-005	-0,099980401623011776	0,000120004734	-0,025793645046605267	0,043880462647991072	0,00096239557661344576
1	0	0	0	0	0	2	30417,1880	-0,100000001	1,20011079	-1,7818756779448854E-005	-0,099980556701623872	0,000119987744	-0,025811463803384717	0,043898281404770522	0,00096306041838646029
1	1	0	1	1	0	1	30417,2386	0,100000001	1,21212149	0	0	0	-0,025811463803384717	0	0,00096306041838646029
1	1	0	1	0	0	1	30419,2386	0,100000001	1,3108803	5,4190880136459277E-005	0,097543585426605773	0,00012786797	-0,025757272923248256	5,4190880136459277E-005	0,00096103848378815565
1	1	0	1	0	0	1	30421,2386	0,100000001	1,37169755	5,5563233518352115E-005	0,10001382154392048	0,000137188719	-0,025701709689729904	0,00010975411365481138	0,00095896534484002406
1	1	0	1	0	0	1	30423,2386	0,100000001	1,42115343	5,5563243367605741E-005	0,10001383927257723	0,000142135017	-0,025646146446362301	0,00016531735702241712	0,00095689220552440346
1	1	0	1	0	0	1	30425,2386	0,100000001	1,46278024	5,556327987131145E-005	0,1000139049792483	0,000146298364	-0,025590583166490989	0,00022088063689372858	0,00095481906484678054
1	1	0	1	0	0	1	30427,2386	0,100000001	1,49896514	5,5563257874300083E-005	0,10001386538462738	0,000149917294	-0,025535019908616688	0,00027644389476802867	0,00095274592498989568
1	1	0	1	0	0	1	30429,2386	0,100000001	1,53171289	5,5563214948193894E-005	0,1000137881176353	0,000153192406	-0,025479456693668496	0,00033200710971622259	0,00095067278673464141
1	1	0	1	0	0	1	30431,2386	0,100000001	1,56215024	5,5563219676415123E-005	0,10001379662843362	0,00015623658	-0,02542389347399208	0,00038757032939263776	0,00094859964830297114
1	1	0	1	0	0	1	30433,2386	0,100000001	1,59077346	5,5563285292850598E-005	0,10001391473801891	0,00015909948	-0,025368330188699232	0,00044313361468548832	0,0009465265074230633
1	1	0	1	0	0	1	30435,2386	0,100000001	1,61823189	5,5563245841198496E-005	0,10001384372504426	0,000161845586	-0,025312766942858032	0,00049869686052668685	0,00094445336801514957
1	1	0	1	0	0	1	30437,2386	0,100000001	1,64502203	5,5563239178723757E-005	0,10001383173258957	0,000164524958	-0,025257203703679309	0,00055426009970541056	0,00094238022885582182
1	1	0	1	0	0	1	30439,2386	0,100000001	1,67123938	5,5563203574468691E-005	0,10001376764492968	0,000167146951	-0,025201640500104842	0,0006098233032798793	0,0009403070910249367
1	1	0	1	0	0	1	30441,2386	0,100000001	1,69728482	5,5563187591317626E-005	0,10001373887525741	0,000169751802	-0,02514607731251352	0,00066538649087119693	0,00093823395379040435
1	1	0	1	0	0	1	30443,2386	0,100000001	1,72327304	5,556322950952583E-005	0,10001381432803309	0,000172351109	-0,025090514083003994	0,00072094972038072282	0,0009361608149918473
