f,x,Z','-Z'',Z,'-phi,f_fit,x_fit,Z'_fit,'-Z''_fit,Z_fit,'-phi_fit
 99.90403750000, 1.99958304006, 45.59490431307, 2.95908441307, 45.69082489824, 3.72369428936, 99.90403750000, 1.99958304006, 45.00427606605, 4.06918502646, 45.18786486446, 5.19471898319
 146.73728900000, 2.16654049114, 44.87565024926, 5.56423649926, 45.21929580514, 7.14086965651, 103.21711948117, 2.01375173488, 44.96952082518, 4.20309203438, 45.16551545035, 5.37081865646
 215.34449800000, 2.33313378012, 43.13706688608, 8.46535588608, 43.95985429699, 11.39050510564, 106.64007201900, 2.02792042971, 44.93223725841, 4.34102962195, 45.14144972445, 5.55279357523
 316.31576500000, 2.50012083745, 40.22135431035, 11.21079051035, 41.75451073148, 16.39672972121, 110.17653871162, 2.04208912453, 44.89225632250, 4.48307492056, 45.11554763569, 5.74082420576
 464.55389400000, 2.66703610479, 36.23608136742, 13.23254706742, 38.57659776027, 21.90553816007, 113.83028398845, 2.05625781935, 44.84939925779, 4.62930131671, 45.08768173754, 5.93509451637
 681.08966100000, 2.83320428770, 31.69593259670, 14.22124799670, 34.74012144133, 27.58361281649, 117.60519711740, 2.07042651417, 44.80347725016, 4.77977771948, 45.05771686130, 6.13579177990
 999.04040500000, 2.99958305310, 27.41793347849, 14.18558217849, 30.87027401844, 32.60660165411, 121.50529634473, 2.08459520899, 44.75429111635, 4.93456775719, 45.02550979476, 6.34310633504
 1468.58972000000, 3.16690048386, 23.60769618460, 13.72571528460, 27.30784830810, 37.65383550408, 125.53473317240, 2.09876390381, 44.70163102022, 5.09372889938, 44.99090897024, 6.55723130154
 2152.93286000000, 3.33303048640, 20.26925633382, 13.26147053382, 24.22208399469, 43.94337362701, 129.69779677715, 2.11293259863, 44.64527622786, 5.25731150076, 44.95375416668, 6.77836224447
 3160.05566000000, 3.49969473218, 17.04506919460, 13.01293419460, 21.44459932482, 54.83353637392, 133.99891857615, 2.12710129345, 44.58499491112, 5.42535776400, 44.91387623099, 7.00669678159
 4642.42725000000, 3.66674510677, 13.52773682038, 12.72866172038, 18.57467342037, 78.60483787234, 138.44267694408, 2.14126998827, 44.52054400976, 5.59790061896, 44.87109682484, 7.24243412824
 6856.00244000000, 3.83607096348, 9.75087493039, 11.95541243039, 15.42761965726, 159.57811156821, 143.03380208662, 2.15543868309, 44.45166916389, 5.77496251673, 44.82522820383, 7.48577457297
 10015.27050000000, 4.00066268354, 6.40343580007, 10.47587790007, 12.27794802982, -877.77609812805, 147.77718107559, 2.16960737792, 44.37810472954, 5.95655413776, 44.77607303663, 7.73691887713
 14672.84960000000, 4.16651446595, 3.80684645609, 8.52066597609, 9.33240743947, -72.69981762622, 152.67786305102, 2.18377607274, 44.29957389131, 6.14267301453, 44.72342427314, 7.99606759122
 21545.40820000000, 4.33335472666, 2.05527775133, 6.47436709133, 6.79276054844, 0.48846849667, 157.74106459578, 2.19794476756, 44.21578888735, 6.33330207091, 44.66706507095, 8.26342027999
 31628.41210000000, 4.50007738877, 1.01646599850, 4.69098701850, 4.79985024078, 586.43649687785, 162.97217528840, 2.21211346238, 44.12645136313, 6.52840808179, 44.60676879113, 8.53917464834
 46411.12500000000, 4.66662209579, 0.44418296580, 3.27362283580, 3.30361998090, 108.98984354497, 168.37676344009, 2.22628215720, 44.03125287137, 6.72794005896, 44.54229907470, 8.82352555953
