f,x,Z','-Z'',Z,'-phi,f_fit,x_fit,Z'_fit,'-Z''_fit,Z_fit,'-phi_fit
 99.90403750000, 1.99958304006, 45.65223541307, 2.95908441307, 45.74803579143, 3.71900485877, 99.90403750000, 1.99958304006, 45.59905351464, 3.45713819102, 45.72991893610, 4.35227952114
 146.73728900000, 2.16654049114, 44.93298134926, 5.56423649926, 45.27619176512, 7.13166456727, 103.81300807622, 2.01625177530, 45.56359265264, 3.60687928991, 45.70613256039, 4.54511401832
 215.34449800000, 2.33313378012, 43.19439798608, 8.46535588608, 44.01611372734, 11.37499226379, 107.87492593414, 2.03292051054, 45.52402127191, 3.76420387009, 45.67937985066, 4.74839117939
 316.31576500000, 2.50012083745, 40.27868541035, 11.21079051035, 41.80973956212, 16.37213998367, 112.09577548078, 2.04958924578, 45.47982389892, 3.92959778833, 45.64927294771, 4.96288928100
 464.55389400000, 2.66703610479, 36.29341246742, 13.23254706742, 38.63045547779, 21.86766415856, 116.48177527657, 2.06625798102, 45.43042208492, 4.10357376788, 45.61537644789, 5.18945176019
 681.08966100000, 2.83320428770, 31.75326369670, 14.22124799670, 34.79243667776, 27.52646244572, 121.03938719713, 2.08292671626, 45.37516974511, 4.28666752604, 45.57720425691, 5.42898796300
 999.04040500000, 2.99958305310, 27.47526457849, 14.18558217849, 30.92120478573, 32.52476251854, 125.77532595354, 2.09959545150, 45.31334952867, 4.47943146384, 45.53421737272, 5.68247157016
 1468.58972000000, 3.16690048386, 23.66502728460, 13.72571528460, 27.35742634925, 37.53838511394, 130.69656898506, 2.11626418674, 45.24417086485, 4.68242521372, 45.48582310050, 5.95093576579
 2152.93286000000, 3.33303048640, 20.32658743382, 13.26147053382, 24.27007946885, 43.77568644122, 135.81036673899, 2.13293292197, 45.16677050094, 4.89620224254, 45.43137631510, 6.23546399843
 3160.05566000000, 3.49969473218, 17.10240029460, 13.01293419460, 21.49019665312, 54.55328786927, 141.12425335272, 2.14960165721, 45.08021652088, 5.12129163921, 45.37018348677, 6.53717496398
 4642.42725000000, 3.66674510677, 13.58506792038, 12.72866172038, 18.61646850488, 77.95265792254, 146.64605775375, 2.16627039245, 44.98351698335, 5.35817420874, 45.30151025124, 6.85720024424
 6856.00244000000, 3.83607096348, 9.80820603039, 11.95541243039, 15.46391903482, 156.05253385682, 152.38391519398, 2.18293912769, 44.87563440686, 5.60725208913, 45.22459330286, 7.19665290903
 10015.27050000000, 4.00066268354, 6.46076690007, 10.47587790007, 12.30794567401, -1129.92710853843, 158.34627923540, 2.19960786293, 44.75550730308, 5.86881135619, 45.13865727612, 7.55658540154
 14672.84960000000, 4.16651446595, 3.86417755609, 8.52066597609, 9.35594019119, -77.88620019300, 164.54193420466, 2.21627659817, 44.62207975129, 6.14297754700, 45.04293700985, 7.93793527063
 21545.40820000000, 4.33335472666, 2.11260885133, 6.47436709133, 6.81032637926, -4.41829068842, 170.98000813497, 2.23294533341, 44.47433953969, 6.42966477690, 44.93670511547, 8.34145790765
 31628.41210000000, 4.50007738877, 1.07379709850, 4.69098701850, 4.81231746839, 160.04011971320, 177.66998621441, 2.24961406865, 44.31136460775, 6.72852019805, 44.81930407154, 8.76764652717
 46411.12500000000, 4.66662209579, 0.50151406580, 3.27362283580, 3.31181563938, 14.28229001262, 184.62172476041, 2.26628280389, 44.13237636951, 7.03886696011, 44.69018115987, 9.21664132784
 68127.42969999999, 4.83332200426, 0.19643189726, 2.18666700726, 2.19547217949, -417.57218491077, 191.84546574105, 2.28295153913, 43.93679701417, 7.35965052632, 44.54892353059, 9.68813216208
 100024.40600000000, 5.00010598098, 0.02354318427, 1.35984312427, 1.36004691248, 152.24711490054, 199.35185186448, 2.29962027436, 43.72430620172, 7.68939499905, 44.39528970818, 10.18126209099
 146777.32800000001, 5.16665897734, -0.06379912647, 0.68035954353, 0.68334430342, -166.46768460220, 207.15194225876, 2.31628900960, 43.49489096754, 8.02617770385, 44.22923319268, 10.69454265695
 215441.85900000000, 5.33333008785, -0.09998088437, 0.07247873263, 0.12348823395, -50.75380050893, 215.25722876530, 2.33295774484, 43.24888152320, 8.36763120031, 44.05091378067, 11.22579502700
 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 0.00000000000, 223.67965286967, 2.34962648008, 42.98696546732, 8.71098155235, 43.86069310549, 11.77213345708
