Index;Name;Value;Error;Initial;Fix;Min;Max;;
0;R0;-0.57524760;0.090120;0.000000;1;0.000000;0.000000;;
1;R1;-3.06816902;0.716072;1.295855;1;0.129585;2.462124;;
2;f1;81.126479;1.162107;99.999539;1;9.999954;189.998862;;
3;n1;1.24767792;0.101422;0.827000;1;0.082700;1;;
2;R2;69.2468480;0.243039;32.639270;1;3.263927;62.014613;;
4;f2;3110.927858;1.005465;3307.752452;1;330.775245;6284.735433;;
6;n2;0.82012794;0.002583;0.709000;1;0.070900;1;;
