Index,Name,Value,Error,Initial,Fix,Min,Max,,
0,R0,0.000000,,0.000000,1,0.000000,0.000000,,
1,R1,18.163922,,18.163922,1,1.816392,34.511452,,
2,f1,541.236612,,541.236612,1,54.123661,1028.349563,,
3,n1,0.765000,,0.765000,1,0.076500,1,,
2,R2,13.532011,,13.532011,1,1.353201,25.710820,,
4,f2,6319.890830,,6319.890830,1,631.989083,12007.792577,,
6,n2,0.766000,,0.766000,1,0.076600,1,,
