EC-Lab ASCII FILE
Nb header lines : 3                           
mode	ox/red	error	control changes	Ns changes	counter inc.	Ns	time/s	control/V/mA	Ewe/V	dq/mA.h	<I>/mA	P/W	(Q-Qo)/mA.h	x	Capacity/mA.h
1	0	0	1	1	0	1	357700,44	-0,200000003	2,32873678	0	0	0	0	0	0
1	0	0	1	0	0	1	357710,44	-0,200000003	2,30237412	-0,0005531238210664919	-0,19912074152543075	0,000458450435	-0,0005531238210664919	2,0637793446877674E-005	0,0005531238210664919
1	0	0	1	0	0	1	357720,44	-0,200000003	2,29982162	-0,00055587023110604954	-0,20010943010369418	0,00046021599	-0,0011089940521725413	4,137805914491881E-005	0,0011089940521725413
1	0	0	1	0	0	1	357730,44	-0,200000003	2,29822159	-0,00055586853841112717	-0,2001088207440905	0,000459894422	-0,0016648625905836685	6,2118261686236544E-005	0,0016648625905836685
1	0	0	1	0	0	1	357740,44	-0,200000003	2,29662156	-0,00055586872519883853	-0,20010888798171277	0,000459574396	-0,0022207313157825069	8,2858471196854925E-005	0,0022207313157825069
1	0	0	1	0	0	1	357750,44	-0,200000003	2,29544044	-0,00055587286976310944	-0,2001103800007807	0,000459341449	-0,0027766041855456163	0,00010359883534673869	0,0027766041855456163
1	0	0	1	0	0	1	357760,44	-0,200000003	2,2945261	-0,00055587093084636653	-0,20010968200419318	0,000459156901	-0,0033324751163919827	0,00012433912715303187	0,0033324751163919827
1	0	0	1	0	0	1	357770,44	-0,200000003	2,29364991	-0,00055587257669286586	-0,20011027449752451	0,000458982919	-0,0038883476930848486	0,00014507948036807082	0,0038883476930848486
1	0	0	1	0	0	1	357780,44	-0,200000003	2,29264045	-0,00055587522472358419	-0,20011122777255744	0,000458783092	-0,0044442229178084326	0,00016581993238469613	0,0044442229178084326
1	0	0	1	0	0	1	357790,44	-0,200000003	2,29185939	-0,00055587563231421843	-0,20011137450236048	0,000458627124	-0,0050000985501226509	0,00018656039960907606	0,0050000985501226509
1	0	0	1	0	0	1	357800,44	-0,200000003	2,29121184	-0,00055587534820950688	-0,20011127223129277	0,000458497321	-0,0055559738983321581	0,00020730085623312723	0,0055559738983321581
