SIMFIT RESULTS
==============

Dataset : /opt/topspin/data/nmrsu/nmr/cg_7Li_Diff30_5mm/4/pdata/1/ct1t2.txt

AREA fit : Diffusion : Variable Gradient :

I=I[0]*exp(-D*SQR(2*PI*gamma*Gi*LD)*(BD-LD/3)*1e4)

32 points for Integral 1,  Integral Region from 11.850 to 8.633 ppm

Converged after 54 iterations!

Results     Comp. 1    

I[0]           =   9.114e-01  
Diff Con.      =   6.338e-11 m2/s
Gamma          =   1.655e+03 Hz/G
Little Delta   =      4.000m
Big Delta      =     30.000m

RSS   =    1.069e-01
SD    =    5.780e-02

Point     Gradient       Expt          Calc       Difference

    1    0.000e+00     1.000e+00     9.114e-01    -8.861e-02
    2    3.230e+01     8.516e-01     8.820e-01     3.041e-02
    3    6.450e+01     8.186e-01     7.997e-01    -1.894e-02
    4    9.680e+01     6.099e-01     6.789e-01     6.899e-02
    5    1.290e+02     4.739e-01     5.403e-01     6.637e-02
    6    1.613e+02     3.973e-01     4.024e-01     5.099e-03
    7    1.935e+02     3.375e-01     2.810e-01    -5.650e-02
    8    2.258e+02     9.155e-02     1.836e-01     9.206e-02
    9    2.580e+02     1.958e-01     1.125e-01    -8.323e-02
   10    2.903e+02     1.344e-01     6.451e-02    -6.990e-02
   11    3.226e+02     1.035e-01     3.463e-02    -6.887e-02
   12    3.548e+02     3.551e-02     1.745e-02    -1.806e-02
   13    3.871e+02    -2.221e-02     8.217e-03     3.043e-02
   14    4.193e+02     6.061e-02     3.634e-03    -5.697e-02
   15    4.516e+02     9.262e-02     1.501e-03    -9.112e-02
   16    4.838e+02     2.801e-02     5.827e-04    -2.742e-02
   17    5.161e+02    -1.180e-02     2.112e-04     1.202e-02
   18    5.483e+02     8.465e-03     7.193e-05    -8.393e-03
   19    5.806e+02    -4.328e-02     2.287e-05     4.330e-02
   20    6.128e+02     3.247e-02     6.837e-06    -3.247e-02
   21    6.451e+02     7.053e-02     1.907e-06    -7.053e-02
   22    6.774e+02     1.817e-02     4.982e-07    -1.817e-02
   23    7.096e+02     1.205e-01     1.224e-07    -1.205e-01
   24    7.419e+02     3.597e-02     2.806e-08    -3.597e-02
   25    7.741e+02    -4.981e-02     6.052e-09     4.981e-02
   26    8.064e+02     3.774e-02     1.217e-09    -3.774e-02
   27    8.386e+02     1.394e-02     2.303e-10    -1.394e-02
   28    8.709e+02    -3.604e-02     4.063e-11     3.604e-02
   29    9.031e+02    -4.314e-02     6.749e-12     4.314e-02
   30    9.354e+02    -1.586e-02     1.044e-12     1.586e-02
   31    9.677e+02     1.115e-01     1.513e-13    -1.115e-01
   32    9.999e+02     5.117e-02     2.067e-14    -5.117e-02

============================================================

